"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.707946680E-1;-5.564508915E0;8.508877754E0;4.603192329E0;1.116038260E1
6.729922190E-1;-5.497509956E0;8.451449394E0;4.450650215E0;1.102079398E1
6.751599220E-1;-5.440082073E0;8.361120224E0;4.283750534E0;1.085602796E1
6.773382770E-1;-5.373083115E0;8.294719696E0;4.092923164E0;1.069693494E1
6.794946290E-1;-5.315655708E0;8.218747139E0;3.930809498E0;1.054776106E1
6.816468820E-1;-5.234299660E0;8.118846893E0;3.802793503E0;1.038146455E1
6.838411770E-1;-5.172086239E0;8.032705307E0;3.659822226E0;1.023079319E1
6.860136010E-1;-5.124229908E0;7.932805061E0;3.507279873E0;1.007413224E1
6.881920770E-1;-5.062016487E0;7.852047443E0;3.445664644E0;9.957472812E0
6.903553780E-1;-4.989633560E0;7.741977692E0;3.388834953E0;9.814217441E0
6.925254830E-1;-4.932205677E0;7.675576687E0;3.370290756E0;9.726252624E0
6.946998600E-1;-4.860421181E0;7.575078487E0;3.351746321E0;9.604150746E0
6.968718070E-1;-4.812564373E0;7.503293514E0;3.333201885E0;9.516849490E0
6.990401620E-1;-4.755136967E0;7.389036179E0;3.314657450E0;9.391279850E0
7.012104710E-1;-4.702494621E0;7.336394310E0;3.272184849E0;9.308239942E0
7.033812870E-1;-4.678566456E0;7.302894592E0;3.305684566E0;9.281638000E0
7.055533450E-1;-4.673780918E0;7.259823799E0;3.339184046E0;9.257398109E0
7.077238670E-1;-4.640281200E0;7.212565422E0;3.387638569E0;9.221139011E0
7.098949290E-1;-4.616353035E0;7.212565422E0;3.434896946E0;9.226610013E0
7.120598150E-1;-4.563711166E0;7.183851719E0;3.483351469E0;9.196136286E0
