"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.669454910E-1;-3.080759048E-1;4.685146809E0;8.553144455E0;9.757140536E0
6.691172960E-1;-3.080759048E-1;4.680361271E0;8.548358917E0;9.750647802E0
6.712878470E-1;-3.176472187E-1;4.698905468E0;8.553144455E0;9.764061267E0
6.734569550E-1;-3.224328458E-1;4.679762840E0;8.543573380E0;9.746629637E0
6.756282710E-1;-3.367897868E-1;4.661218643E0;8.539385796E0;9.734551678E0
6.777975730E-1;-3.176472187E-1;4.666004181E0;8.548358917E0;9.744071785E0
6.799685620E-1;-3.080759048E-1;4.670789719E0;8.525029182E0;9.725600749E0
6.821433470E-1;-3.176472187E-1;4.689932346E0;8.514859200E0;9.726211614E0
6.843135030E-1;-3.032902777E-1;4.747360229E0;8.490931511E0;9.732693978E0
6.864871590E-1;-3.080759048E-1;4.723432064E0;8.481359482E0;9.712835831E0
6.886645880E-1;-2.985046208E-1;4.689932346E0;8.490931511E0;9.704663227E0
6.908270530E-1;-2.985046208E-1;4.661218643E0;8.477172852E0;9.678766647E0
6.929984300E-1;-3.128615618E-1;4.656432629E0;8.467600822E0;9.668531991E0
6.951653200E-1;-3.128615618E-1;4.680361271E0;8.462815285E0;9.675893061E0
6.973392910E-1;-2.985046208E-1;4.704289436E0;8.467002869E0;9.690695625E0
6.995098730E-1;-2.889333367E-1;4.737788677E0;8.457431793E0;9.698364633E0
7.016807110E-1;-2.650051117E-1;4.723432064E0;8.447860718E0;9.682323527E0
